Skill,Employees_Missing,Severity
LogMeIn GoToMeeting,428,HIGH
MEDITECH software,428,HIGH
ADP Workforce Now,428,HIGH
Adobe PageMaker,428,HIGH
NortonLifeLock cybersecurity software,423,HIGH
Microsoft Exchange,423,HIGH
Perl,423,HIGH
Microsoft Teams,423,HIGH
Virtual private networking VPN software,423,HIGH
JamBoard,423,HIGH
Active Learning,423,HIGH
UNIX,423,HIGH
Autodesk Revit,423,HIGH
Apple Final Cut Pro,418,HIGH
Mentimeter,418,HIGH
Airtable,418,HIGH
Drupal,418,HIGH
Data visualization software,418,HIGH
LogMeIn GoToWebinar,418,HIGH
Dynamic hypertext markup language DHTML,418,HIGH
Google Slides,418,HIGH
Apache Struts,418,HIGH
Learning Strategies,401,HIGH
Google Analytics,374,HIGH
Blink,351,HIGH
Social media software,351,HIGH
Inventory management systems,351,HIGH
Apache Pig,351,HIGH
Apache Groovy,351,HIGH
Trimble SketchUp Pro,351,HIGH
Work scheduling software,351,HIGH
QuarkXPress,351,HIGH
Screencastify,351,HIGH
Delphi Technology,351,HIGH
Medical procedure coding software,351,HIGH
SAP BusinessObjects Crystal Reports,351,HIGH
Inventory tracking software,351,HIGH
Sage MAS 200 ERP,351,HIGH
Financial accounting software,351,HIGH
GroupMe,351,HIGH
Fund accounting software,351,HIGH
Medical condition coding software,351,HIGH
Healthcare common procedure coding system HCPCS,351,HIGH
Yardi software,351,HIGH
Apache Hadoop,351,HIGH
Payroll software,351,HIGH
Dropbox,351,HIGH
Microsoft FrontPage,346,HIGH
Enterprise JavaBeans,346,HIGH
IBM InfoSphere DataStage,346,HIGH
Google Sites,346,HIGH
Microsoft OneNote,346,HIGH
The MathWorks MATLAB,346,HIGH
ESRI ArcGIS software,346,HIGH
AJAX,346,HIGH
Zoom,346,HIGH
Microsoft Visual Basic for Applications VBA,346,HIGH
Skype,346,HIGH
Oracle Solaris,346,HIGH
GitHub,346,HIGH
C++,346,HIGH
Screencast-O-Matic,346,HIGH
Kronos Workforce Timekeeper,346,HIGH
Apache Cassandra,346,HIGH
WeVideo,346,HIGH
Apple iMovie,346,HIGH
Oracle WebLogic Server,346,HIGH
Insightful S-PLUS,346,HIGH
Oracle PL/SQL,346,HIGH
Twitter,341,HIGH
3M Post-it App,341,HIGH
Extensible hypertext markup language XHTML,341,HIGH
HubSpot software,341,HIGH
Firewall software,341,HIGH
Shell script,341,HIGH
Microsoft Visual Basic Scripting Edition VBScript,341,HIGH
Voice over internet protocol VoIP system software,341,HIGH
McAfee,341,HIGH
Wireshark,341,HIGH
Microsoft Windows Server,341,HIGH
IBM Lotus 1-2-3,341,HIGH
Canva,341,HIGH
WordPress,341,HIGH
Apple Keynote,341,HIGH
Microsoft SQL Server Reporting Services SSRS,329,HIGH
ADP Enterprise HR,329,HIGH
jQuery,329,HIGH
Google,325,HIGH
Supervisory control and data acquisition SCADA software,324,HIGH
Moodle,319,HIGH
Learning management system LMS,319,HIGH
Workday software,319,HIGH
Oracle HRIS,319,HIGH
Geographic information system GIS systems,319,HIGH
Budgeting software,274,HIGH
Route mapping software,274,HIGH
Electronic medical record EMR software,274,HIGH
eClinicalWorks EHR software,274,HIGH
Ruby,269,HIGH
Management information systems MIS,269,HIGH
Ab Initio,269,HIGH
Bentley MicroStation,269,HIGH
Flow chart software,269,HIGH
IBM Cognos Business Intelligence,269,HIGH
Ansible software,269,HIGH
Atlassian Confluence,269,HIGH
Ruby on Rails,269,HIGH
Microsoft Azure software,269,HIGH
Flipgrid,269,HIGH
Google Classroom,269,HIGH
Jupyter Notebook,269,HIGH
Microsoft ASP.NET,269,HIGH
Relational database management software,269,HIGH
Enterprise application integration EAI software,269,HIGH
IBM Lotus Notes,269,HIGH
LAMP Stack,269,HIGH
Google Looker Analytics,269,HIGH
FaceTime,269,HIGH
Poll Everywhere,269,HIGH
Dassault Systemes SolidWorks,269,HIGH
Oracle JavaServer Pages JSP,269,HIGH
TikTok,269,HIGH
Elasticsearch,269,HIGH
Google Cloud software,269,HIGH
Database management software,269,HIGH
Amazon Web Services AWS software,269,HIGH
C,269,HIGH
Hewlett Packard HP-UX,269,HIGH
Structure query language SQL,269,HIGH
Basecamp,269,HIGH
Graphics creation software,269,HIGH
Apache Hive,269,HIGH
Red Hat Enterprise Linux,269,HIGH
IBM DB2,269,HIGH
Eclipse IDE,269,HIGH
Act!,269,HIGH
Eko,269,HIGH
Data analysis software,269,HIGH
Apache Solr,269,HIGH
Adobe Premiere Pro,269,HIGH
NoSQL,269,HIGH
Google Workspace software,269,HIGH
Swift,269,HIGH
React,269,HIGH
Splunk Enterprise,269,HIGH
Oracle Siebel Server Sync,269,HIGH
Amazon Redshift,269,HIGH
Instagram,264,HIGH
Adobe Acrobat Reader,264,HIGH
Online databases,253,HIGH
Cost estimating software,252,HIGH
Integrated development environment IDE software,252,HIGH
HCSS HeavyBid,252,HIGH
Sun Microsystems Java,252,HIGH
MicroFocus GroupWise,252,HIGH
GNU Image Manipulation Program GIMP,252,HIGH
Data logging software,252,HIGH
Microsoft SharePoint Server,252,HIGH
Quicken,252,HIGH
Sage ERP Accpac,252,HIGH
Computerized maintenance management system CMMS,252,HIGH
Time and attendance software,252,HIGH
Sage 300 Construction and Real Estate,252,HIGH
HCSS HeavyJob,252,HIGH
Apache Maven,252,HIGH
Mapping software,252,HIGH
Microsoft SQL Server Integration Services SSIS,252,HIGH
Bookkeeping software,252,HIGH
Veritas NetBackup,252,HIGH
Employee scheduling software,252,HIGH
Django,247,HIGH
Adobe Captivate,247,HIGH
Global positioning system GPS software,247,HIGH
Statistical software,247,HIGH
Google Gmail,247,HIGH
Common Curriculum,247,HIGH
Wolfram Research Mathematica,247,HIGH
Advanced business application programming ABAP,247,HIGH
Dassault Systemes CATIA,247,HIGH
Software development tools,247,HIGH
Leica Geosystems ERDAS IMAGINE,247,HIGH
Backbone.js,247,HIGH
National Instruments LabVIEW,247,HIGH
Human resource information system (HRIS),247,HIGH
JavaScript Object Notation JSON,247,HIGH
Ultimate Software UltiPro Workplace,247,HIGH
Lawson Human Resource Management,247,HIGH
Perforce Helix software,247,HIGH
Applicant tracking software,247,HIGH
ESRI ArcView,247,HIGH
MathWorks Simulink,247,HIGH
ParentSquare,242,HIGH
Course management system software,242,HIGH
DOC Cop,242,HIGH
Collaborative editing software,242,HIGH
iParadigms Turnitin,242,HIGH
Desire2Learn LMS software,242,HIGH
Image scanning software,242,HIGH
Blackboard Learn,242,HIGH
Sakai CLE,242,HIGH
Slido interaction software,242,HIGH
National Crime Information Center (NCIC) database,242,HIGH
KornShell,242,HIGH
Microsoft PowerShell,242,HIGH
Avid Technology Media Composer,242,HIGH
Cisco IOS,242,HIGH
Apache Kafka,242,HIGH
ServiceNow,242,HIGH
Video editing software,242,HIGH
Nagios,242,HIGH
Docker,234,HIGH
Kubernetes,227,HIGH
SAP,205,HIGH
Microsoft Excel,201,HIGH
Contact management systems,192,HIGH
MicroStrategy Desktop,192,HIGH
RESTful API,192,HIGH
Platform as a service PaaS,192,HIGH
Business analysis software,192,HIGH
ACT! Premium,192,HIGH
Network directory services software,192,HIGH
Content management systems CMS,192,HIGH
PaloAlto Advertising Plan Pro,192,HIGH
Cisco Systems CiscoWorks,192,HIGH
Apache HBase,192,HIGH
Kapwing,192,HIGH
Microsoft Dynamics CRM,192,HIGH
Actuate BIRT,192,HIGH
Financial needs analysis software,192,HIGH
Microsoft Dynamics Marketing,192,HIGH
SAP Adaptive Server Enterprise,192,HIGH
Contact management software,192,HIGH
Cisco Systems VPN Client,192,HIGH
Security assertion markup language SAML,192,HIGH
Intuit QuickBooks Point of Sale,192,HIGH
Microsoft Office Live Meeting,192,HIGH
Figma,192,HIGH
Inventory control system software,192,HIGH
Border Gateway Protocol BGP,192,HIGH
Experience in Software Webplanner,192,HIGH
AMS Services AMS Sagitta,192,HIGH
Asana,192,HIGH
Informatica Corporation PowerCenter,192,HIGH
AdRelevance,192,HIGH
Quark enterprise publishing software,192,HIGH
The General Store,192,HIGH
Apple iOS,192,HIGH
Software as a service SaaS,192,HIGH
HMS,192,HIGH
Brainworks,192,HIGH
Microsoft Active Directory,192,HIGH
Yardi Systems Yardi Enterprise,192,HIGH
Single sign-on SSO,192,HIGH
TimeValue software,192,HIGH
Sales analysis software,192,HIGH
Relex Weibull,192,HIGH
Microsoft Word,186,HIGH
Handheld computer device software,181,HIGH
Henry Schein Dentrix,181,HIGH
Microsoft Edge,181,HIGH
Plexis Software Plexis POS,181,HIGH
Padlet,181,HIGH
PracticeWorks Systems Kodak WINOMS CS,181,HIGH
Adobe Experience Manager (AEM),176,HIGH
SAP Business One,176,HIGH
QuickBase business management software,176,HIGH
Salesforce.com Salesforce CRM,176,HIGH
NetSuite NetCRM,176,HIGH
Infor ERP SyteLine,176,HIGH
Kronos Enterprise Workforce Management,176,HIGH
Financial planning software,176,HIGH
Avidian Technologies Prophet,176,HIGH
Pinterest,176,HIGH
SeaMonkey,176,HIGH
AEC Software FastTrack Schedule,176,HIGH
Software on Sailboats Desktop Sales Manager,176,HIGH
Factiva,176,HIGH
HEAT Software GoldMine,176,HIGH
ActionWare,176,HIGH
Relational database software,176,HIGH
Mozilla Thunderbird,176,HIGH
Palisade StatTools,176,HIGH
vtiger CRM,176,HIGH
Maximizer Software Maximizer Enterprise,176,HIGH
AMG Teleran SalesInSync,176,HIGH
MailChimp,176,HIGH
Vanguard Software Vanguard Sales Manager,176,HIGH
PointClickCare healthcare software,175,HIGH
Building automation software,175,HIGH
Software libraries,175,HIGH
Corel Paint Shop Pro,175,HIGH
Multi-line optical character reader OCR software,175,HIGH
Estimating software,175,HIGH
Facility energy management software,175,HIGH
Aurora FoodPro,175,HIGH
Wintac Pro,175,HIGH
Adobe FreeHand MX,175,HIGH
Google Sheets,175,HIGH
GE Healthcare Centricity EMR,175,HIGH
Turtle Creek Software Goldenseal,175,HIGH
Insight Direct ServiceCEO,175,HIGH
Computer aided design and drafting CADD software,175,HIGH
Corel Ventura,175,HIGH
Adobe FrameMaker,175,HIGH
PCC Pediatric Partner,175,HIGH
Job costing software,175,HIGH
e-MDs Bill,175,HIGH
Microsoft Windows XP,175,HIGH
Drawing and drafting software,175,HIGH
Craftsman CD Estimator,175,HIGH
OpenOffice.org,175,HIGH
IBM Maximo Asset Management,175,HIGH
ValuSoft MasterCook,175,HIGH
HVAC tools software,175,HIGH
Corel CorelDraw Graphics Suite,175,HIGH
Atlas Construction Business Forms,175,HIGH
Adobe LiveMotion,175,HIGH
Adobe PostScript,175,HIGH
Siemens Teamcenter,170,HIGH
Quest Erwin Data Modeler,170,HIGH
Prolog,170,HIGH
JUnit,170,HIGH
Apache Spark,170,HIGH
Oracle JDBC,170,HIGH
Data modeling software,170,HIGH
Bash,170,HIGH
Realization Streamliner,170,HIGH
Human resources management system HRMS,170,HIGH
Encryption software,170,HIGH
Local area network LAN software,170,HIGH
SAP NetWeaver BW,170,HIGH
Customer information control system CICS,170,HIGH
Optimization software,170,HIGH
Job control language JCL,170,HIGH
Oracle Java 2 Platform Enterprise Edition J2EE,170,HIGH
Autodesk Maya,170,HIGH
PricewaterhouseCoopers TeamMate,170,HIGH
Hewlett-Packard HP OpenVMS,170,HIGH
ADP HR/Benefits Solution,170,HIGH
Apache Tomcat,170,HIGH
PTC Creo Parametric,170,HIGH
Snowflake,170,HIGH
Microsoft Power BI,170,HIGH
AnalyzerXL,170,HIGH
Sage 100 Contractor,170,HIGH
Ext JS,170,HIGH
Microsoft Active Server Pages ASP,170,HIGH
Snort,170,HIGH
SAP BusinessObjects Data Integrator,170,HIGH
Tax compliance property tax management software,170,HIGH
Hibernate ORM,170,HIGH
Reporting software,170,HIGH
Microsoft Visual FoxPro,170,HIGH
Microsoft Visual Studio,170,HIGH
Oracle NetSuite,170,HIGH
Electronic health record EHR software,170,HIGH
Web server software,170,HIGH
LSA Visual Easy Lean,170,HIGH
Microsoft ASP.NET Core MVC,170,HIGH
SAP business and customer relations management software,170,HIGH
UNIX Shell,170,HIGH
Deltek Costpoint,170,HIGH
Chef,170,HIGH
UCN inContact Workforce Management Software WFM,170,HIGH
Microsoft Power Automate,170,HIGH
ESRI ArcGIS Spatial Analyst,170,HIGH
Student information systems SIS software,170,HIGH
TechSmith Camtasia,170,HIGH
Dartfish ProSuite,170,HIGH
Schoology,170,HIGH
Scanning software,170,HIGH
Simulation software,170,HIGH
Regression testing software,170,HIGH
Seesaw,170,HIGH
ESRI ArcMap,170,HIGH
ESRI ArcGIS Geostatistical Analyst,170,HIGH
Graphical user interface GUI design software,170,HIGH
Trimble Pathfinder Office,170,HIGH
ESRI ArcGIS Survey 123,170,HIGH
Debugging software,170,HIGH
RockWare ArcMap,170,HIGH
Employee self-service software,170,HIGH
GibbsCAM,170,HIGH
ESRI ArcInfo,170,HIGH
Version control software,170,HIGH
SAP ERP Human Capital Management,170,HIGH
Altia Design,170,HIGH
Interface definition language IDL,170,HIGH
Usability testing software,170,HIGH
Statistical process control SPC software,170,HIGH
Ubuntu,170,HIGH
Videoconferencing software,170,HIGH
Infor ERP Baan,170,HIGH
Microsoft MapPoint,170,HIGH
Objective C,170,HIGH
Unified modeling language UML,170,HIGH
IBM Cognos,170,HIGH
Oracle SQL Developer,170,HIGH
Microsoft Dynamics AX,170,HIGH
Clarity Systems IBM Clarity,170,HIGH
Bentley STAAD,170,HIGH
Web content management system CMS software,170,HIGH
Apache Ant,170,HIGH
PVsyst,170,HIGH
WorkForce Software EmpCenter Time and Attendance,170,HIGH
Common business oriented language COBOL,170,HIGH
Real time operating system RTOS software,170,HIGH
Bloomberg Professional,170,HIGH
Derivicom FinOptions XL,170,HIGH
Microsoft Business Contact Manager,170,HIGH
Esri ArcGIS,170,HIGH
Microsoft Power Platform software,170,HIGH
Oracle Fusion Middleware,170,HIGH
Amazon Elastic Compute Cloud EC2,170,HIGH
Leading Market Technologies EXPO,170,HIGH
Sage HRMS,170,HIGH
Time reporting software,170,HIGH
Sage MAS 500,170,HIGH
Financial reporting software,170,HIGH
Scala,170,HIGH
Google Angular,170,HIGH
Apache HTTP Server,170,HIGH
Experian Credinomics,170,HIGH
AVEVA InTouch HMI,170,HIGH
IBM Rational RequisitePro,170,HIGH
TensorFlow,170,HIGH
Amazon DynamoDB,170,HIGH
Puppet,170,HIGH
Transact-SQL,170,HIGH
Oracle Primavera Systems,170,HIGH
Microsoft Team Foundation Server,170,HIGH
Microsoft ActiveX,170,HIGH
C#,170,HIGH
MasterControl software,170,HIGH
IBM WebSphere MQ,170,HIGH
Red Hat OpenShift,170,HIGH
Formula translation/translator FORTRAN,170,HIGH
M-Tech Hotel Service Optimization System HotSOS,170,HIGH
Microsoft FRx,170,HIGH
SAP PowerBuilder,170,HIGH
ADP Pay eXpert,170,HIGH
Siemens NX,170,HIGH
BizBench,170,HIGH
Mathematics,170,HIGH
CNC Mastercam,170,HIGH
Corel QuattroPro,170,HIGH
Apache Subversion SVN,170,HIGH
Practice management software PMS,170,HIGH
Amazon Kinesis,170,HIGH
VMware,170,HIGH
Sage MAS 90 ERP,170,HIGH
Computer aided design and drafting software CADD,170,HIGH
Microsoft Visual Basic.NET,170,HIGH
Informatica software,170,HIGH
Aspen Graphics Technical Analysis Software,170,HIGH
Salesforce Visualforce,170,HIGH
Google Earth Pro,170,HIGH
Red Hat WildFly,170,HIGH
Atlas Business Solutions Staff Files,170,HIGH
Autodesk AutoCAD Civil 3D,170,HIGH
Adobe Distiller,170,HIGH
Mathsoft Mathcad,170,HIGH
Amazon Simple Storage Service S3,170,HIGH
Laboratory information management system LIMS,170,HIGH
Moody's KMV CreditEdge,170,HIGH
Epicor Vantage ERP,170,HIGH
Financial compliance software,170,HIGH
Business performance management BPM software,170,HIGH
Wide area network WAN software,170,HIGH
PostgreSQL,170,HIGH
Oracle Cloud software,170,HIGH
IBM Rational ClearQuest,170,HIGH
Auditing software,170,HIGH
Science,170,HIGH
Hewlett Packard LoadRunner,170,HIGH
SAS JMP,170,HIGH
Avid Technology audio visual editing software,170,HIGH
Alteryx software,170,HIGH
Mathematical software,170,HIGH
IBM Rational Build Forge,170,HIGH
ArcSight Enterprise Threat and Risk Management,170,HIGH
MongoDB,170,HIGH
Selenium,170,HIGH
PyTorch,170,HIGH
CruiseControl,170,HIGH
Estate planning software,170,HIGH
IBM WebSphere,170,HIGH
Ceridian Dayforce enterprise HCM,170,HIGH
Chatbot software,170,HIGH
Accounts receivable software,170,HIGH
Atlassian Bamboo,170,HIGH
Go,170,HIGH
Node.js,170,HIGH
CDA International Manifold System,170,HIGH
Oracle SQL Loader,170,HIGH
Monte Carlo simulation software,170,HIGH
Spring Boot,170,HIGH
Microsoft .NET Framework,170,HIGH
ESRI ArcPad,170,HIGH
QAD Adaptive ERP,170,HIGH
Spring Framework,170,HIGH
Access management software,165,HIGH
Autodesk Navisworks,165,HIGH
Apple QuickTime,165,HIGH
Cisco Systems Cisco Traffic Analyzer,165,HIGH
Law enforcement information databases,165,HIGH
Antivirus software,165,HIGH
Oracle Business Intelligence Discoverer,165,HIGH
NavisWorks Jetstream,165,HIGH
NovaStor NovaBACKUP,165,HIGH
Audacity,165,HIGH
Network management software,165,HIGH
Programmable logic controller PLC software,159,HIGH
Property management system PMS software,159,HIGH
Computerized diagnostic software,159,HIGH
Allscripts healthcare automation software,159,HIGH
Inventory control software,159,HIGH
Report generation software,159,HIGH
Warehouse management system WMS,159,HIGH
Right Reason Technologies RightTrack,154,HIGH
Learn HQ Activate LMS,154,HIGH
Inspired eLearning iLMS,154,HIGH
Intelladon Enterprise Knowledge Platform EKP,154,HIGH
Ikonami AT-Learning Tool,154,HIGH
Employee performance management system,154,HIGH
FlexTraining Total e-Learning Solution,154,HIGH
Cobent Learning and Compliance Suite LCS,154,HIGH
EZ LCMS,154,HIGH
Articulate Rapid E-Learning Studio,154,HIGH
RISC Virtual Training Assistant,154,HIGH
Brainshark Rapid Learning,154,HIGH
TrainOnTrack Learning Management System LMS,154,HIGH
Upside Learning UpsideLMS,154,HIGH
Xerceo Learn,154,HIGH
Ziiva Prosperity LMS,154,HIGH
GeoMetrix Data Systems Training Partner,154,HIGH
G-Cube Solutions Wizdom Web LMS,154,HIGH
SumTotal Systems TotalLMS,154,HIGH
SumTotal Systems ToolBook,154,HIGH
Operitel LearnFlex,154,HIGH
Alchemy Systems SISTEM,154,HIGH
Apple iPhoto,154,HIGH
STATISTICA,154,HIGH
Kronos Workforce Payroll,154,HIGH
Pathlore LMS,154,HIGH
Beeline Learning Management System LMS,154,HIGH
Medworxx Learning Management System,154,HIGH
ElearningForce JoomlaLMS,154,HIGH
Edulastic,154,HIGH
dominKnow Learning Center,154,HIGH
Eedo Knowledgeware Eedo Force Ten,154,HIGH
Intellum Rollbook,154,HIGH
HP Trim,154,HIGH
ICS Learning Group Inquisiq EX,154,HIGH
OnPoint Digital OnPoint Learning & Performance Suite,154,HIGH
Telania eLeaP Learning Management System LMS/LCMS,154,HIGH
Blatant Media Absorb LMS,154,HIGH
Computer Generated Solutions Learning Management System,154,HIGH
Plateau Learning Management System LMS,154,HIGH
Intelligent Information Conversion Technologies MeritScholar,154,HIGH
The Human Equation InSite LMS,154,HIGH
Mzinga On-Demand Learning Suite,154,HIGH
techniques.org knowledgeWorks LMS,154,HIGH
Xyleme Learning Content Management System LCMS,154,HIGH
NetDimensions Enterprise Knowledge Platform EKP,154,HIGH
SkillSoft SkillPort,154,HIGH
Adobe Presenter,154,HIGH
TrainCaster LMS,154,HIGH
PRO-ductivity Systems Compliance Training Manager Web,154,HIGH
Intrado SchoolMessenger,149,HIGH
Apple Final Cut Express,149,HIGH
Avid Technology Pro Tools,149,HIGH
Adobe Audition,149,HIGH
Myspace,149,HIGH
Git,132,HIGH
Realtors Property Resource RPR,99,MEDIUM
TNS Miriad,99,MEDIUM
Relavis CRM Portal,99,MEDIUM
Garmin City Select,99,MEDIUM
Real estate application contract transmission REACT software,99,MEDIUM
Cytel Software XLMiner,99,MEDIUM
Google Webmaster Tools,99,MEDIUM
Qualitech Solutions Dynamic Scheduling,99,MEDIUM
Route planning software,99,MEDIUM
Infocorp Softwear/POS,99,MEDIUM
Sage SalesLogix,99,MEDIUM
Time card software,99,MEDIUM
Sage 50 Accounting Software,99,MEDIUM
Data-Tel Ceasar,99,MEDIUM
Real estate investment analysis software,99,MEDIUM
Prognosis Solutions ResolvPRM,99,MEDIUM
Webtrends software,99,MEDIUM
MarketSharp,99,MEDIUM
Results International Systems Artius Suite,99,MEDIUM
interlinkONE,99,MEDIUM
TranspoLink BidLeads,99,MEDIUM
Underwriting software,99,MEDIUM
ShoreTel,99,MEDIUM
Loan application processing software,99,MEDIUM
Topaz Software Symplifi (business analysis feature),99,MEDIUM
Insightful Corporation Confirmit,99,MEDIUM
Landlord Software Pro Flipper,99,MEDIUM
Tritech Financial Systems General Insurance Management System GIMS,99,MEDIUM
Walmart Retail Link,99,MEDIUM
Sawtooth Composite Product Mapping CPM,99,MEDIUM
Point of sale POS parts and services software,99,MEDIUM
Panoweaver Panorama,99,MEDIUM
BrightEdge,99,MEDIUM
TechExcel ServiceWise,99,MEDIUM
Fiserv financial services software,99,MEDIUM
Survey software,99,MEDIUM
"Adxstudio, for Microsoft",99,MEDIUM
WorldAPP KeySurvey Suite,99,MEDIUM
OWL Bookkeeping for Realtors,99,MEDIUM
Oracle Beehive,99,MEDIUM
Timpani Contact Center,99,MEDIUM
ASI Point of Sale,99,MEDIUM
MASterMind,99,MEDIUM
Digivey software (point of sale feature),99,MEDIUM
Visual Retail Plus,99,MEDIUM
W3 Data BatchAppend411,99,MEDIUM
RPIS Silent Flyer,99,MEDIUM
Yahoo! Email,99,MEDIUM
MobiTech Systems Route Sales Trakker,99,MEDIUM
Panorama Technologies ModelWeaver,99,MEDIUM
Fuze cloud communications and collaboration software,99,MEDIUM
Vimeo,99,MEDIUM
Khameleon,99,MEDIUM
Medstat/INFORUM,99,MEDIUM
IBM Digital Analytics,99,MEDIUM
Moxi Works MoxiPresent,99,MEDIUM
eGrabber ListGrabber,99,MEDIUM
Columbia Ultimate Archive,99,MEDIUM
StatPac,99,MEDIUM
Sales force automation software,99,MEDIUM
Applied Systems The Agency Manager,99,MEDIUM
Greenbrier Graphics Deed Plotter,99,MEDIUM
AS/400 Database,99,MEDIUM
Digital contract software,99,MEDIUM
CoVirt VirtGate,99,MEDIUM
Reveal Systems Truewire,99,MEDIUM
ManageMore Cellular Manager,99,MEDIUM
Internet based MLS database software,99,MEDIUM
AdSense Tracker,99,MEDIUM
MediaVue,99,MEDIUM
bMobile Technology Sales,99,MEDIUM
United Systems and Software Individual Life and Health Administration System,99,MEDIUM
Diagnostic and procedural coding software,99,MEDIUM
Skywire Software Policyware,99,MEDIUM
Hyperion Solutions Hyperion System 9 Bi+,99,MEDIUM
NCR Teradata Warehouse Miner,99,MEDIUM
AdTrack Customer Acquisition Management CAM,99,MEDIUM
Epic Systems software,99,MEDIUM
TimeTrak Systems SchedTrak,99,MEDIUM
Regulussoft Route Accounting,99,MEDIUM
Infospectrum Quick Insure,99,MEDIUM
Allied Financial Software Act4Advisors,99,MEDIUM
Geographic information system GIS marketing software,99,MEDIUM
WebEx Sales Center,99,MEDIUM
MapReduce big data software,99,MEDIUM
Insurance rating software,99,MEDIUM
WebTrends Analytics,99,MEDIUM
Eden Sales Manager,99,MEDIUM
RealtyStar Real Estate Assistant,99,MEDIUM
Insurance Technologies Corporation InsurancePro,99,MEDIUM
DSC Pacer Interactive Voice Response System,99,MEDIUM
ADS Advantage,99,MEDIUM
Iseemedia Photovista Panorama,99,MEDIUM
DataBasix Technologies Lead Commander,99,MEDIUM
Advantage Information Systems The Agency Advantage,99,MEDIUM
Hoffman Computer Systems Amsoft,99,MEDIUM
Vigilant,99,MEDIUM
Vulcan Solutions Vulcan Insurance,99,MEDIUM
Commercial and industrial development project cost analysis software,99,MEDIUM
Xactware Xactimate,99,MEDIUM
FedBizOps,99,MEDIUM
CMA Stuffers,99,MEDIUM
LexisNexis Banko,99,MEDIUM
G2X Agility:Insurance,99,MEDIUM
Perseus SurveySolutions,99,MEDIUM
North American Software Associates Eclipse,99,MEDIUM
E-Z Data SmartOffice,99,MEDIUM
CyberMatrix POS,99,MEDIUM
Online advertising reporting software,99,MEDIUM
Galilee Enterprise TargetPro,99,MEDIUM
Newsletter production software,99,MEDIUM
